id,wallet_address,chain,wallet_label,memory_tier,wallet_quality_score,wallet_risk_score,tokens_traded,realized_exits,win_rate,median_realized_return_pct,avg_realized_return_pct,rug_exposure_rate,quick_dump_rate,first_minute_entry_rate,avg_hold_time_minutes,reputation_note,caution_note,last_seen_at,created_at
6900,0x45b39f9505f3a086bf216b2a6853653cdd75fb7d,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:51:19.000Z,2026-05-13T07:31:05+00:00
6899,0x77fd3837ac7c5756f34b6e6deb3f5049668fd2f8,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:51:31.000Z,2026-05-13T07:31:05+00:00
6898,0x3006a4e1122ee17beb928f7852730901eed2a36f,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:51:35.000Z,2026-05-13T07:31:05+00:00
6897,0x7148ec736e4721aececc9c9a1a6a298a844916a5,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:51:37.000Z,2026-05-13T07:31:05+00:00
6896,0x496de6c068721b673949258a9c6ff6fad6e588a2,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:51:51.000Z,2026-05-13T07:31:05+00:00
6895,0xe5e6bf78050647e98901a337a5412ddd838b7535,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:51:55.000Z,2026-05-13T07:31:05+00:00
6894,0xc57ef2ca440cfde34c8c1a19823b8606feb62c20,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:01.000Z,2026-05-13T07:31:05+00:00
6893,0xef7c86babfd6caf5bafcea532c7fd47f45ea8f75,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:11.000Z,2026-05-13T07:31:05+00:00
6892,0xc6172fd1d0200d3a8ebbddfd52c45fb31446f31f,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:15.000Z,2026-05-13T07:31:05+00:00
6891,0x91639920350444b4ec80bfe82809abf13127b75a,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:15.000Z,2026-05-13T07:31:05+00:00
6890,0xc6c58f8a3d19ede47d0c44457879f55a60e9c805,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:19.000Z,2026-05-13T07:31:05+00:00
6889,0xa75baed2717feab5df03b3df0204602fb9375122,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:29.000Z,2026-05-13T07:31:05+00:00
6888,0xe5902f3d7ed11b6fcfd8784286542087f0a10844,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:35.000Z,2026-05-13T07:31:05+00:00
6887,0xfbcd58d5682836d53349462817f85276f88ccc97,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:39.000Z,2026-05-13T07:31:05+00:00
6886,0x705113c27b88213ad44f1385ba8684603b6ea61f,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:52:53.000Z,2026-05-13T07:31:05+00:00
6885,0xcb1e38a2c067942a4812b545218dccc74c72f6d6,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:53:01.000Z,2026-05-13T07:31:05+00:00
6884,0x70d45df57c376316798f190e459ef96430dd7da2,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:53:01.000Z,2026-05-13T07:31:05+00:00
6883,0x57d1defa26ffc1f01ef752ebaf8023923503530d,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:53:03.000Z,2026-05-13T07:31:05+00:00
6882,0xaac892baa33ab2c7dc3683ae0332107dbc18eb9b,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:53:03.000Z,2026-05-13T07:31:05+00:00
6881,0x424dd6e840e9a456e34b6c324729ad29a4765a93,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:53:11.000Z,2026-05-13T07:31:05+00:00
6880,0x696e93a04e342a28bbe95e52b2b5a87bd9743b0d,base,Unproven Wallet,Unproven Memory,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wallet does not have enough proven history yet.,low_realized_exit_history,2026-05-09T09:53:19.000Z,2026-05-13T07:31:05+00:00
